日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-23,600481,5.96,5.74,5.98,5.62,608535,350020902.0,6.04,-3.69,-0.22,3.25
2025-09-24,600481,5.69,5.87,5.88,5.66,393039,228353982.0,3.83,2.26,0.13,2.1
2025-09-25,600481,5.85,6.1,6.32,5.83,940800,575367975.0,8.35,3.92,0.23,5.02
2025-09-26,600481,6.07,6.01,6.13,6.01,442518,267880771.0,1.97,-1.48,-0.09,2.36
2025-09-29,600481,5.98,6.01,6.16,5.97,490339,296856397.0,3.16,0.0,0.0,2.62
2025-09-30,600481,6.03,6.05,6.2,5.99,501040,304515037.0,3.49,0.67,0.04,2.67
2025-10-09,600481,6.03,6.18,6.23,5.98,680835,417627031.0,4.13,2.15,0.13,3.63
2025-10-10,600481,6.2,6.11,6.28,6.09,441833,271786011.0,3.07,-1.13,-0.07,2.36
2025-10-13,600481,5.9,6.02,6.03,5.84,461578,274199923.0,3.11,-1.47,-0.09,2.46
2025-10-14,600481,6.04,6.34,6.51,6.04,1654729,1056028732.0,7.81,5.32,0.32,8.83
2025-10-15,600481,6.38,6.97,6.97,6.33,1490013,1004231356.0,10.09,9.94,0.63,7.95
2025-10-16,600481,7.05,6.87,7.05,6.81,1773431,1222958689.0,3.44,-1.43,-0.1,9.46
2025-10-17,600481,6.87,6.57,6.93,6.54,909920,606779775.0,5.68,-4.37,-0.3,4.86
2025-10-20,600481,6.69,6.46,6.69,6.38,770536,499218888.0,4.72,-1.67,-0.11,4.11
2025-10-21,600481,6.48,6.61,6.68,6.33,970474,634041856.0,5.42,2.32,0.15,5.18
2025-10-22,600481,6.55,6.46,6.62,6.44,485796,315811029.0,2.72,-2.27,-0.15,2.59
2025-10-23,600481,6.4,6.5,6.55,6.22,688498,439652769.0,5.11,0.62,0.04,3.67
2025-10-24,600481,6.55,6.26,6.64,6.23,858300,544711328.0,6.31,-3.69,-0.24,4.58
2025-10-27,600481,6.34,6.42,6.5,6.29,697482,446340607.0,3.35,2.56,0.16,3.72
2025-10-28,600481,6.45,6.47,6.53,6.35,560136,361588370.0,2.8,0.78,0.05,2.99
2025-10-29,600481,6.4,7.0,7.05,6.35,1640781,1115355591.0,10.82,8.19,0.53,8.76
2025-10-30,600481,6.81,6.89,7.04,6.78,921775,636088011.0,3.71,-1.57,-0.11,4.92
2025-10-31,600481,6.83,6.91,7.14,6.83,635685,442546099.0,4.5,0.29,0.02,3.39
2025-11-03,600481,6.95,7.32,7.45,6.86,1474020,1053758187.0,8.54,5.93,0.41,7.87
2025-11-04,600481,7.33,7.09,7.34,7.02,817168,583743104.0,4.37,-3.14,-0.23,4.36
2025-11-05,600481,6.9,7.16,7.29,6.9,826458,588895611.0,5.5,0.99,0.07,4.41
2025-11-06,600481,7.1,7.05,7.3,6.96,838780,592424839.0,4.75,-1.54,-0.11,4.48
2025-11-07,600481,7.05,7.29,7.48,7.0,1448703,1059586520.0,6.81,3.4,0.24,7.73
2025-11-10,600481,7.4,7.32,7.55,7.25,1232479,909328511.0,4.12,0.41,0.03,6.58
2025-11-11,600481,7.29,7.25,7.45,7.22,849394,623190097.0,3.14,-0.96,-0.07,4.53
2025-11-12,600481,7.21,6.7,7.24,6.53,1548007,1042702892.0,9.79,-7.59,-0.55,8.26
2025-11-13,600481,6.71,6.85,6.95,6.68,884954,604911687.0,4.03,2.24,0.15,4.72
2025-11-14,600481,6.7,6.82,7.18,6.69,825652,569675852.0,7.15,-0.44,-0.03,4.41
2025-11-17,600481,6.72,6.63,6.82,6.43,812366,533579593.0,5.72,-2.79,-0.19,4.34
2025-11-18,600481,6.58,6.38,6.69,6.32,636923,409956226.0,5.58,-3.77,-0.25,3.4
2025-11-19,600481,6.36,6.28,6.45,6.18,476932,298937635.0,4.23,-1.57,-0.1,2.55
2025-11-20,600481,6.31,6.15,6.33,6.13,383645,238683525.0,3.18,-2.07,-0.13,2.05
2025-11-21,600481,6.05,5.81,6.07,5.81,527315,311641285.0,4.23,-5.53,-0.34,2.81
2025-11-24,600481,5.86,5.79,5.9,5.69,410580,236195273.0,3.61,-0.34,-0.02,2.19
2025-11-25,600481,5.84,5.83,5.88,5.78,359645,209737789.0,1.73,0.69,0.04,1.92
2025-11-26,600481,5.86,5.8,5.9,5.79,316853,184831162.0,1.89,-0.51,-0.03,1.69
2025-11-27,600481,5.8,5.89,5.98,5.76,420085,247509715.0,3.79,1.55,0.09,2.24
2025-11-28,600481,5.87,5.88,5.89,5.8,270155,157941628.0,1.53,-0.17,-0.01,1.44
2025-12-01,600481,5.9,5.93,5.98,5.83,338822,200149066.0,2.55,0.85,0.05,1.81
2025-12-02,600481,5.88,5.8,5.9,5.77,310312,180118920.0,2.19,-2.19,-0.13,1.66
2025-12-03,600481,5.77,5.61,5.82,5.58,397509,225603247.0,4.14,-3.28,-0.19,2.12
2025-12-04,600481,5.62,5.47,5.62,5.4,398695,218542891.0,3.92,-2.5,-0.14,2.13
2025-12-05,600481,5.47,5.55,5.58,5.45,302623,167342562.0,2.38,1.46,0.08,1.62
2025-12-08,600481,5.55,5.62,5.67,5.55,258220,144932217.0,2.16,1.26,0.07,1.38
2025-12-09,600481,5.6,5.76,5.88,5.51,465354,262282937.0,6.58,2.49,0.14,2.48
2025-12-10,600481,5.77,5.71,5.77,5.56,474933,268325093.0,3.65,-0.87,-0.05,2.53
2025-12-11,600481,5.68,5.56,5.72,5.55,271441,152658171.0,2.98,-2.63,-0.15,1.45
2025-12-12,600481,5.6,5.6,5.65,5.52,378390,210599705.0,2.34,0.72,0.04,2.02
2025-12-15,600481,5.6,5.62,5.77,5.58,380738,214846077.0,3.39,0.36,0.02,2.03
2025-12-16,600481,5.59,5.42,5.59,5.41,312172,170435826.0,3.2,-3.56,-0.2,1.67
2025-12-17,600481,5.41,5.48,5.49,5.36,242488,131538862.0,2.4,1.11,0.06,1.29
2025-12-18,600481,5.42,5.48,5.55,5.41,245638,135019692.0,2.55,0.0,0.0,1.31
2025-12-19,600481,5.5,5.54,5.58,5.49,209669,116154871.0,1.64,1.09,0.06,1.12
2025-12-22,600481,5.53,5.55,5.59,5.51,185203,102878171.0,1.44,0.18,0.01,0.99
2025-12-23,600481,5.53,5.58,5.62,5.48,299925,166600878.0,2.52,0.54,0.03,1.6
2025-12-24,600481,5.58,5.81,5.82,5.53,604479,345842782.0,5.2,4.12,0.23,3.23
2025-12-25,600481,5.8,5.78,5.83,5.73,353695,204683738.0,1.72,-0.52,-0.03,1.89
2025-12-26,600481,5.94,5.83,6.0,5.81,526689,310375375.0,3.29,0.87,0.05,2.81
2025-12-29,600481,5.79,6.41,6.41,5.77,1704511,1051090790.0,10.98,9.95,0.58,9.1
2025-12-30,600481,6.39,6.44,6.69,6.12,1993469,1273687215.0,8.89,0.47,0.03,10.64
2025-12-31,600481,6.3,6.54,6.61,6.3,1262521,818058909.0,4.81,1.55,0.1,6.74
2026-01-05,600481,6.51,6.41,6.58,6.4,950326,614619317.0,2.75,-1.99,-0.13,5.07
2026-01-06,600481,6.4,6.56,6.6,6.38,892841,579294119.0,3.43,2.34,0.15,4.76
2026-01-07,600481,6.5,6.45,6.54,6.42,643674,415737577.0,1.83,-1.68,-0.11,3.44
2026-01-08,600481,6.39,6.96,7.1,6.33,1982287,1358700976.0,11.94,7.91,0.51,10.58
2026-01-09,600481,6.82,7.03,7.32,6.71,1919141,1347885196.0,8.76,1.01,0.07,10.24
2026-01-12,600481,7.2,7.37,7.54,7.2,1584017,1165888440.0,4.84,4.84,0.34,8.45
2026-01-13,600481,7.26,7.07,7.4,7.04,1170653,837149620.0,4.88,-4.07,-0.3,6.25
2026-01-14,600481,7.01,7.11,7.52,7.0,1172126,843821267.0,7.36,0.57,0.04,6.26
2026-01-15,600481,7.11,7.21,7.36,7.01,895109,647905383.0,4.92,1.41,0.1,4.78
2026-01-16,600481,7.3,7.1,7.34,7.06,767576,548593851.0,3.88,-1.53,-0.11,4.1
2026-01-19,600481,7.27,7.58,7.81,7.2,2077478,1590771583.0,8.59,6.76,0.48,11.09
2026-01-20,600481,7.54,7.07,7.66,7.0,1404534,1013163660.0,8.71,-6.73,-0.51,7.5
2026-01-21,600481,7.0,6.86,7.06,6.82,803904,556240365.0,3.39,-2.97,-0.21,4.29
2026-01-22,600481,6.89,7.14,7.2,6.8,871700,614806266.0,5.83,4.08,0.28,4.65
2026-01-23,600481,7.84,7.85,7.85,7.84,569625,447117842.0,0.14,9.94,0.71,3.04
2026-01-26,600481,8.64,8.18,8.64,8.08,3526444,2942254878.0,7.13,4.2,0.33,18.82
2026-01-27,600481,7.8,8.15,8.27,7.78,2143727,1725802121.0,5.99,-0.37,-0.03,11.44
2026-01-28,600481,8.16,8.89,8.97,8.15,2801526,2491426986.0,10.06,9.08,0.74,14.95
2026-01-29,600481,9.07,9.26,9.72,8.88,2487802,2319524382.0,9.45,4.16,0.37,13.28
2026-01-30,600481,8.77,8.89,9.18,8.37,1456461,1272519621.0,8.75,-4.0,-0.37,7.77
2026-02-02,600481,9.15,9.18,9.6,9.05,1509744,1406563675.0,6.19,3.26,0.29,8.06
2026-02-03,600481,9.5,10.1,10.1,9.41,512075,511257459.0,7.52,10.02,0.92,2.73
2026-02-04,600481,11.11,11.11,11.11,10.82,1187133,1314836133.0,2.87,10.0,1.01,6.34
2026-02-05,600481,10.78,10.0,10.8,10.0,1941650,1994641178.0,7.2,-9.99,-1.11,10.36
2026-02-06,600481,9.23,10.51,10.76,9.23,3045839,3034663912.0,15.3,5.1,0.51,16.26
2026-02-09,600481,10.84,11.2,11.56,10.84,2878519,3238874335.0,6.85,6.57,0.69,15.36
2026-02-10,600481,10.91,10.38,11.25,10.08,2445685,2561091623.0,10.45,-7.32,-0.82,13.05
2026-02-11,600481,10.35,9.74,10.43,9.74,2092218,2090691961.0,6.65,-6.17,-0.64,11.17
2026-02-12,600481,9.67,10.71,10.71,9.41,1771807,1762269056.0,13.35,9.96,0.97,9.46
2026-02-13,600481,10.41,9.64,10.57,9.64,1868785,1821431988.0,8.68,-9.99,-1.07,9.05
2026-02-24,600481,9.31,9.43,9.56,8.91,2117274,1969891099.0,6.74,-2.18,-0.21,10.26
2026-02-25,600481,9.37,8.97,9.45,8.94,1921346,1746903549.0,5.41,-4.88,-0.46,9.31
2026-02-26,600481,8.98,8.7,9.01,8.63,1334802,1168326921.0,4.24,-3.01,-0.27,6.47
2026-02-27,600481,8.7,9.37,9.57,8.6,3268150,3059272994.0,11.15,7.7,0.67,15.83
2026-03-02,600481,8.43,8.43,8.43,8.43,226436,190885548.0,0.0,-10.03,-0.94,1.1
2026-03-03,600481,8.16,7.6,8.26,7.59,2880684,2263207842.0,7.95,-9.85,-0.83,13.96
2026-03-04,600481,7.37,7.58,7.85,7.36,1698980,1299854568.0,6.45,-0.26,-0.02,8.23
2026-03-05,600481,7.7,7.63,7.75,7.54,1082960,825627945.0,2.77,0.66,0.05,5.25
2026-03-06,600481,7.57,7.66,7.8,7.48,904883,694916362.0,4.19,0.39,0.03,4.38
2026-03-09,600481,7.5,7.68,7.71,7.39,1112037,838853407.0,4.18,0.26,0.02,5.39
2026-03-10,600481,7.76,7.97,8.05,7.65,1640337,1292174657.0,5.21,3.78,0.29,7.95
2026-03-11,600481,7.9,7.77,8.01,7.75,1171096,922974668.0,3.26,-2.51,-0.2,5.67
2026-03-12,600481,7.71,7.53,7.73,7.42,995041,753175799.0,3.99,-3.09,-0.24,4.82
2026-03-13,600481,7.49,7.45,7.7,7.39,843004,635705752.0,4.12,-1.06,-0.08,4.08
2026-03-16,600481,7.35,7.08,7.41,7.01,1321861,943423453.0,5.37,-4.97,-0.37,6.4
2026-03-17,600481,7.16,7.06,7.48,7.04,1314446,955972547.0,6.21,-0.28,-0.02,6.37
2026-03-18,600481,7.19,7.1,7.29,7.01,989096,704073503.0,3.97,0.57,0.04,4.79
2026-03-19,600481,7.0,6.86,7.05,6.83,753177,520987116.0,3.1,-3.38,-0.24,3.65
2026-03-20,600481,6.95,6.87,7.3,6.74,1286904,900275208.0,8.16,0.15,0.01,6.23
2026-03-23,600481,6.9,7.19,7.4,6.87,2142148,1543065022.0,7.71,4.66,0.32,10.38
2026-03-24,600481,7.31,7.3,7.58,7.0,1850696,1345083290.0,8.07,1.53,0.11,8.97
2026-03-25,600481,7.11,7.32,7.47,7.11,1386318,1013671530.0,4.93,0.27,0.02,6.72
2026-03-26,600481,7.25,6.95,7.27,6.92,1038632,733872784.0,4.78,-5.05,-0.37,5.03
2026-03-27,600481,6.85,6.96,7.07,6.79,778312,542479841.0,4.03,0.14,0.01,3.77
2026-03-30,600481,6.87,6.84,6.96,6.62,881633,597489200.0,4.89,-1.72,-0.12,4.27
2026-03-31,600481,6.84,6.56,6.95,6.54,830372,557133279.0,5.99,-4.09,-0.28,4.02
2026-04-01,600481,6.68,6.62,6.75,6.46,876097,577208919.0,4.42,0.91,0.06,4.24
2026-04-02,600481,6.55,6.38,6.6,6.33,617035,396994042.0,4.08,-3.63,-0.24,2.99
2026-04-03,600481,6.38,6.16,6.42,6.15,444706,276488634.0,4.23,-3.45,-0.22,2.15
2026-04-07,600481,6.18,6.25,6.33,6.17,450878,282291135.0,2.6,1.46,0.09,2.18
2026-04-08,600481,6.36,6.55,6.56,6.35,617887,399521304.0,3.36,4.8,0.3,2.99
2026-04-09,600481,6.49,6.45,6.51,6.36,439255,282479652.0,2.29,-1.53,-0.1,2.13
2026-04-10,600481,6.46,6.37,6.5,6.37,556662,358163079.0,2.02,-1.24,-0.08,2.7
2026-04-13,600481,6.42,6.52,6.6,6.37,685915,443905236.0,3.61,2.35,0.15,3.32
2026-04-14,600481,6.52,6.4,6.55,6.28,778054,494888075.0,4.14,-1.84,-0.12,3.77
2026-04-15,600481,6.4,6.28,6.46,6.25,542778,344426280.0,3.28,-1.88,-0.12,2.63
2026-04-16,600481,6.3,6.44,6.53,6.24,657721,421330273.0,4.62,2.55,0.16,3.19
2026-04-17,600481,6.44,6.49,6.57,6.33,543397,350250957.0,3.73,0.78,0.05,2.63
2026-04-20,600481,6.48,6.58,6.63,6.45,645483,423934638.0,2.77,1.39,0.09,3.13
2026-04-21,600481,6.6,6.56,6.64,6.47,474647,310772339.0,2.58,-0.3,-0.02,2.3
2026-04-22,600481,6.55,6.6,6.63,6.46,489592,320458812.0,2.59,0.61,0.04,2.37
2026-04-23,600481,6.68,6.4,6.74,6.36,757974,489936201.0,5.76,-3.03,-0.2,3.67
2026-04-24,600481,6.36,6.33,6.43,6.24,461140,291574756.0,2.97,-1.09,-0.07,2.23
2026-04-27,600481,6.3,6.28,6.35,6.16,422619,264494612.0,3.0,-0.79,-0.05,2.05
2026-04-28,600481,6.23,6.04,6.31,5.99,682313,416036555.0,5.1,-3.82,-0.24,3.31
2026-04-29,600481,6.0,6.14,6.17,5.91,536115,325306875.0,4.3,1.66,0.1,2.6
2026-04-30,600481,6.1,6.08,6.15,6.01,471167,286437271.0,2.28,-0.98,-0.06,2.28
2026-05-06,600481,6.1,6.19,6.2,6.07,639585,393614913.0,2.14,1.81,0.11,3.1
2026-05-07,600481,6.22,6.3,6.41,6.21,651427,411585779.0,3.23,1.78,0.11,3.16
2026-05-08,600481,6.29,6.4,6.47,6.22,802810,510774675.0,3.97,1.59,0.1,3.89
2026-05-11,600481,6.42,6.46,6.55,6.41,767345,496982715.0,2.19,0.94,0.06,3.72
2026-05-12,600481,6.55,6.37,6.66,6.3,1008679,646947503.0,5.57,-1.39,-0.09,4.89
2026-05-13,600481,6.35,6.33,6.41,6.22,766949,484879446.0,2.98,-0.63,-0.04,3.72
2026-05-14,600481,6.34,6.96,6.96,6.34,3375118,2299910067.0,9.79,9.95,0.63,16.35
2026-05-15,600481,6.89,6.76,7.0,6.47,3153897,2119708197.0,7.61,-2.87,-0.2,15.28
2026-05-18,600481,6.59,6.55,6.72,6.48,1608709,1054998597.0,3.55,-3.11,-0.21,7.79
2026-05-19,600481,6.62,7.21,7.21,6.61,1813250,1278214017.0,9.16,10.08,0.66,8.78
2026-05-20,600481,7.35,7.32,7.71,7.26,4200186,3126309187.0,6.24,1.53,0.11,20.35
2026-05-21,600481,7.31,7.8,7.86,7.1,3757766,2837078823.0,10.38,6.56,0.48,18.2
2026-05-22,600481,7.52,7.65,7.82,7.5,2550251,1942497667.0,4.1,-1.92,-0.15,12.35
2026-05-25,600481,7.6,7.32,7.6,7.16,2268622,1668191836.0,5.75,-4.31,-0.33,10.99
2026-05-26,600481,7.21,6.83,7.57,6.65,2332979,1642534628.0,12.57,-6.69,-0.49,11.3
2026-05-27,600481,6.7,6.15,6.91,6.15,2325862,1504260270.0,11.13,-9.96,-0.68,11.27
2026-05-28,600481,6.01,6.03,6.13,5.63,1659542,987051111.0,8.13,-1.95,-0.12,8.04
2026-05-29,600481,5.97,5.43,5.97,5.43,1914767,1075737504.0,8.96,-9.95,-0.6,9.28
2026-06-01,600481,5.46,5.35,5.58,5.34,1052760,573582847.0,4.42,-1.47,-0.08,5.1
2026-06-02,600481,5.34,5.04,5.35,4.93,1463660,739799262.0,7.85,-5.79,-0.31,7.09
2026-06-03,600481,5.0,4.91,5.03,4.85,971506,480075144.0,3.57,-2.58,-0.13,4.71
2026-06-04,600481,4.9,4.97,5.07,4.8,1239307,615444734.0,5.5,1.22,0.06,6.0
2026-06-05,600481,4.93,4.99,5.05,4.71,1186404,580080650.0,6.84,0.4,0.02,5.75
2026-06-08,600481,4.79,4.8,4.99,4.71,823554,398692021.0,5.61,-3.81,-0.19,3.99
2026-06-09,600481,4.85,4.85,4.86,4.65,779705,372330876.0,4.38,1.04,0.05,3.78
2026-06-10,600481,4.8,4.96,5.06,4.61,1189010,570886120.0,9.28,2.27,0.11,5.76
2026-06-11,600481,4.88,5.16,5.22,4.83,1493968,759165832.0,7.86,4.03,0.2,7.24
2026-06-12,600481,5.12,5.04,5.28,5.04,1053000,539696883.0,4.65,-2.33,-0.12,5.1
2026-06-15,600481,5.02,4.94,5.02,4.89,807063,399666888.0,2.58,-1.98,-0.1,3.91
2026-06-16,600481,4.89,5.0,5.05,4.74,956086,470239457.0,6.28,1.21,0.06,4.63
2026-06-17,600481,4.96,5.04,5.1,4.88,1007708,503072340.0,4.4,0.8,0.04,4.88
2026-06-18,600481,4.97,4.74,4.98,4.74,936495,452713567.0,4.76,-5.95,-0.3,4.54
2026-06-22,600481,4.71,4.65,4.73,4.47,902189,413600954.0,5.49,-1.9,-0.09,4.37
2026-06-23,600481,4.6,4.51,4.71,4.48,701564,320306579.0,4.95,-3.01,-0.14,3.4
2026-06-24,600481,4.5,4.37,4.5,4.26,917557,398878228.0,5.32,-3.1,-0.14,4.45
2026-06-25,600481,4.38,4.4,4.68,4.32,951995,423555067.0,8.24,0.69,0.03,4.61
2026-06-26,600481,4.4,4.84,4.84,4.39,1224653,579633372.0,10.23,10.0,0.44,5.93
