日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-26,5.18,5.24,5.3,5.16,259334.0,136112246.0,2.7,0.96,0.05,0.61
2025-09-29,5.24,5.26,5.31,5.16,297081.0,156081618.0,2.86,0.38,0.02,0.69
2025-09-30,5.26,5.4,5.42,5.24,394149.0,211571300.0,3.42,2.66,0.14,0.92
2025-10-09,5.4,5.36,5.42,5.32,351159.0,188391379.0,1.85,-0.74,-0.04,0.82
2025-10-10,5.35,5.42,5.47,5.32,427230.0,231700372.0,2.8,1.12,0.06,1.0
2025-10-13,5.26,5.36,5.38,5.23,389565.0,206558333.0,2.77,-1.11,-0.06,0.91
2025-10-14,5.36,5.4,5.5,5.35,506851.0,275796161.0,2.8,0.75,0.04,1.18
2025-10-15,5.39,5.38,5.44,5.32,303739.0,162928965.0,2.22,-0.37,-0.02,0.71
2025-10-16,5.38,5.44,5.46,5.35,390219.0,211130513.0,2.04,1.12,0.06,0.91
2025-10-17,5.45,5.41,5.52,5.38,498659.0,271574519.0,2.57,-0.55,-0.03,1.17
2025-10-20,5.45,5.51,5.67,5.44,694320.0,384526465.0,4.25,1.85,0.1,1.62
2025-10-21,5.51,5.6,5.63,5.45,537949.0,299661709.0,3.27,1.63,0.09,1.26
2025-10-22,5.59,5.45,5.59,5.43,399350.0,219276386.0,2.86,-2.68,-0.15,0.93
2025-10-23,5.44,5.49,5.5,5.41,255733.0,139433876.0,1.65,0.73,0.04,0.6
2025-10-24,5.49,5.43,5.62,5.41,368891.0,202220064.0,3.83,-1.09,-0.06,0.86
2025-10-27,5.45,5.45,5.52,5.4,307137.0,167496726.0,2.21,0.37,0.02,0.72
2025-10-28,5.45,5.45,5.5,5.43,229335.0,125416336.0,1.28,0.0,0.0,0.54
2025-10-29,5.44,5.62,5.68,5.42,568388.0,317829230.0,4.77,3.12,0.17,1.33
2025-10-30,5.59,5.55,5.65,5.53,446251.0,248981229.0,2.14,-1.25,-0.07,1.04
2025-10-31,5.58,5.64,5.71,5.55,535946.0,302254090.0,2.88,1.62,0.09,1.25
2025-11-03,5.64,5.96,6.07,5.59,1073656.0,627120954.0,8.51,5.67,0.32,2.51
2025-11-04,5.96,5.95,6.04,5.86,726790.0,432023504.0,3.02,-0.17,-0.01,1.7
2025-11-05,5.91,6.02,6.16,5.86,956227.0,577826071.0,5.04,1.18,0.07,2.23
2025-11-06,5.97,5.85,6.04,5.78,725720.0,425567865.0,4.32,-2.82,-0.17,1.7
2025-11-07,5.92,6.01,6.09,5.83,815958.0,486982402.0,4.44,2.74,0.16,1.91
2025-11-10,5.96,6.14,6.28,5.88,1061765.0,648783997.0,6.66,2.16,0.13,2.48
2025-11-11,6.12,6.09,6.15,6.03,472909.0,288074074.0,1.95,-0.81,-0.05,1.11
2025-11-12,6.07,6.03,6.12,5.98,421090.0,254342018.0,2.3,-0.99,-0.06,0.98
2025-11-13,6.0,6.1,6.13,5.98,432232.0,263092963.0,2.49,1.16,0.07,1.01
2025-11-14,6.07,6.27,6.39,6.05,932913.0,585013079.0,5.57,2.79,0.17,2.18
2025-11-17,6.31,6.22,6.32,6.14,662773.0,412846497.0,2.87,-0.8,-0.05,1.55
2025-11-18,6.18,6.1,6.39,6.0,901870.0,556361384.0,6.27,-1.93,-0.12,2.11
2025-11-19,6.09,5.9,6.11,5.84,697798.0,412746315.0,4.43,-3.28,-0.2,1.63
2025-11-20,5.93,6.01,6.15,5.88,920025.0,551994198.0,4.58,1.86,0.11,2.15
2025-11-21,5.95,5.8,6.06,5.79,765611.0,451357922.0,4.49,-3.49,-0.21,1.79
2025-11-24,5.81,5.69,5.92,5.62,609195.0,349021587.0,5.17,-1.9,-0.11,1.42
2025-11-25,5.73,5.72,5.74,5.61,632622.0,358971717.0,2.28,0.53,0.03,1.48
2025-11-26,5.71,5.77,5.95,5.7,700080.0,409014770.0,4.37,0.87,0.05,1.64
2025-11-27,5.8,5.63,5.9,5.62,515732.0,294137250.0,4.85,-2.43,-0.14,1.21
2025-11-28,5.68,6.09,6.19,5.6,1261427.0,757057766.0,10.48,8.17,0.46,2.95
2025-12-01,6.03,5.91,6.09,5.9,758636.0,451434044.0,3.12,-2.96,-0.18,1.77
2025-12-02,5.9,5.95,5.98,5.7,706242.0,413033963.0,4.74,0.68,0.04,1.65
2025-12-03,5.88,5.93,6.13,5.88,800719.0,480808136.0,4.2,-0.34,-0.02,1.87
2025-12-04,5.86,5.7,5.89,5.66,701534.0,402441803.0,3.88,-3.88,-0.23,1.64
2025-12-05,5.69,5.86,5.92,5.64,577030.0,334021350.0,4.91,2.81,0.16,1.35
2025-12-08,5.89,5.92,6.05,5.88,601117.0,357607850.0,2.9,1.02,0.06,1.4
2025-12-09,5.89,5.71,5.91,5.65,718583.0,410764721.0,4.39,-3.55,-0.21,1.68
2025-12-10,5.72,6.04,6.1,5.65,1464624.0,869598845.0,7.88,5.78,0.33,3.42
2025-12-11,5.94,5.79,6.05,5.77,921796.0,541238809.0,4.64,-4.14,-0.25,2.15
2025-12-12,5.75,5.63,5.81,5.61,790908.0,448543192.0,3.45,-2.76,-0.16,1.85
2025-12-15,5.61,5.66,5.73,5.46,534823.0,300199825.0,4.8,0.53,0.03,1.25
2025-12-16,5.65,5.49,5.79,5.41,644211.0,355950218.0,6.71,-3.0,-0.17,1.51
2025-12-17,5.49,5.42,5.51,5.28,517615.0,277339607.0,4.19,-1.28,-0.07,1.21
2025-12-18,5.39,5.3,5.42,5.29,498041.0,266204537.0,2.4,-2.21,-0.12,1.16
2025-12-19,5.31,5.53,5.63,5.3,716198.0,390875865.0,6.23,4.34,0.23,1.67
2025-12-22,5.63,6.08,6.08,5.61,1294043.0,774668471.0,8.5,9.95,0.55,3.02
