date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,688568,43.9,44.29,45.98,43.71,286097,1280905368.0,5.23,2.07,0.9,3.54
2025-12-02,688568,44.01,45.12,45.95,43.45,239006,1073369403.0,5.64,1.87,0.83,2.96
2025-12-03,688568,44.75,43.71,45.14,42.26,214173,940054414.0,6.38,-3.13,-1.41,2.65
2025-12-04,688568,43.4,44.18,44.97,43.24,167924,740518582.0,3.96,1.08,0.47,2.08
2025-12-05,688568,43.98,45.2,45.55,43.8,203346,914220430.0,3.96,2.31,1.02,2.52
2025-12-08,688568,45.9,45.1,47.5,44.71,327623,1513747271.0,6.17,-0.22,-0.1,4.05
2025-12-09,688568,44.97,44.09,45.38,43.86,197385,878260328.0,3.37,-2.24,-1.01,2.44
2025-12-10,688568,44.83,47.15,48.5,44.09,359864,1684170295.0,10.0,6.94,3.06,4.45
2025-12-11,688568,47.16,47.54,48.49,46.42,295276,1405474413.0,4.39,0.83,0.39,3.65
2025-12-12,688568,47.43,47.78,49.58,46.27,320304,1518272615.0,6.96,0.5,0.24,3.96
2025-12-15,688568,47.38,47.75,49.38,47.0,344471,1667647293.0,4.98,-0.06,-0.03,4.26
2025-12-16,688568,47.32,45.35,47.33,44.78,276555,1258475346.0,5.34,-5.03,-2.4,3.42
2025-12-17,688568,45.22,44.95,46.06,44.23,171031,768878290.0,4.04,-0.88,-0.4,2.12
2025-12-18,688568,44.36,49.8,52.2,44.36,486098,2386328694.0,17.44,10.79,4.85,6.02
2025-12-19,688568,50.66,49.62,52.5,49.3,339639,1716893248.0,6.43,-0.36,-0.18,4.2
2025-12-22,688568,50.0,49.75,51.09,49.13,263918,1317094817.0,3.95,0.26,0.13,3.27
2025-12-23,688568,50.0,47.65,50.3,47.13,302608,1470332928.0,6.37,-4.22,-2.1,3.74
2025-12-24,688568,47.0,48.51,49.16,46.71,282917,1359062493.0,5.14,1.8,0.86,3.5
2025-12-25,688568,48.21,51.96,52.12,48.15,362621,1832832596.0,8.18,7.11,3.45,4.49
2025-12-26,688568,51.3,53.31,54.34,51.01,407615,2145802693.0,6.41,2.6,1.35,5.04
2025-12-29,688568,53.32,54.41,55.5,52.36,357679,1940580769.0,5.89,2.06,1.1,4.43
2025-12-30,688568,53.5,53.12,55.63,52.8,347107,1870861843.0,5.2,-2.37,-1.29,4.3
2025-12-31,688568,53.23,59.0,60.59,53.0,436459,2465760367.0,14.29,11.07,5.88,5.4
2026-01-05,688568,60.0,59.59,62.48,58.88,493317,2988999759.0,6.1,1.0,0.59,6.1
2026-01-06,688568,59.06,61.96,62.6,57.51,444718,2644581963.0,8.54,3.98,2.37,5.5
2026-01-07,688568,60.0,58.21,60.4,57.0,400492,2340615751.0,5.49,-6.05,-3.75,4.96
2026-01-08,688568,57.7,61.0,61.79,57.57,368531,2207858921.0,7.25,4.79,2.79,4.56
2026-01-09,688568,61.11,65.91,69.8,60.64,459767,3012194017.0,15.02,8.05,4.91,5.69
2026-01-12,688568,68.89,79.09,79.09,68.01,481656,3610142833.0,16.81,20.0,13.18,5.96
2026-01-13,688568,81.34,84.25,94.7,70.5,754028,6255867764.0,30.6,6.52,5.16,9.33
2026-01-14,688568,84.25,95.98,99.95,81.68,711211,6487500443.0,21.69,13.92,11.73,8.8
2026-01-15,688568,90.0,77.66,90.0,76.8,654371,5321018154.0,13.75,-19.09,-18.32,8.1
2026-01-16,688568,81.01,80.24,86.0,79.48,433133,3547898318.0,8.4,3.32,2.58,5.36
2026-01-19,688568,79.39,78.16,82.2,77.95,329277,2623042056.0,5.3,-2.59,-2.08,4.07
2026-01-20,688568,78.88,74.8,79.74,73.8,361572,2734929884.0,7.6,-4.3,-3.36,4.47
2026-01-21,688568,74.78,73.5,76.22,73.06,227057,1681692778.0,4.22,-1.74,-1.3,2.81
2026-01-22,688568,73.2,74.68,75.68,72.59,288522,2150571392.0,4.2,1.61,1.18,3.57
2026-01-23,688568,75.78,86.66,87.18,74.82,596639,4846944440.0,16.55,16.04,11.98,7.38
2026-01-26,688568,82.01,77.1,83.0,76.0,490722,3895705929.0,8.08,-11.03,-9.56,6.07
2026-01-27,688568,75.3,75.66,79.04,74.8,296776,2269624833.0,5.5,-1.87,-1.44,3.67
2026-01-28,688568,75.71,73.95,76.68,73.02,249420,1853141496.0,4.84,-2.26,-1.71,3.09
2026-01-29,688568,73.14,74.19,76.11,72.88,249560,1864423590.0,4.37,0.32,0.24,3.09
2026-01-30,688568,73.1,70.7,74.0,69.12,271961,1919252255.0,6.58,-4.7,-3.49,3.37
2026-02-02,688568,72.11,68.09,73.1,68.02,235314,1644681739.0,7.19,-3.69,-2.61,2.91
2026-02-03,688568,69.26,70.87,71.3,67.8,238659,1667628695.0,5.14,4.08,2.78,2.95
2026-02-04,688568,70.87,69.89,71.35,68.5,191023,1329738868.0,4.02,-1.38,-0.98,2.36
2026-02-05,688568,68.01,67.5,69.67,67.1,167091,1137850685.0,3.68,-3.42,-2.39,2.07
2026-02-06,688568,67.0,66.74,69.11,66.66,136269,921935422.0,3.63,-1.13,-0.76,1.69
2026-02-09,688568,68.58,67.61,68.76,66.57,139011,937648417.0,3.28,1.3,0.87,1.72
2026-02-10,688568,67.66,66.76,67.89,66.0,125258,836470964.0,2.8,-1.26,-0.85,1.55
2026-02-11,688568,67.2,66.78,68.41,66.56,121439,816072200.0,2.77,0.03,0.02,1.5
2026-02-12,688568,67.01,66.42,67.11,66.01,124195,825748540.0,1.65,-0.54,-0.36,1.54
2026-02-13,688568,66.25,65.1,66.85,65.1,131697,867963372.0,2.63,-1.99,-1.32,1.63
2026-02-24,688568,65.42,64.42,65.69,64.08,113435,734874301.0,2.47,-1.04,-0.68,1.4
2026-02-25,688568,64.51,65.87,66.55,64.08,144581,946297570.0,3.83,2.25,1.45,1.79
2026-02-26,688568,65.53,67.33,67.95,64.8,173714,1163095573.0,4.78,2.22,1.46,2.15
2026-02-27,688568,67.06,67.77,68.48,66.11,214893,1453417377.0,3.52,0.65,0.44,2.66
2026-03-02,688568,71.33,73.37,76.99,69.14,472276,3452917897.0,11.58,8.26,5.6,5.84
2026-03-03,688568,73.0,71.76,76.66,70.01,380909,2784033748.0,9.06,-2.19,-1.61,4.71
2026-03-04,688568,69.0,74.7,74.84,68.33,274265,1983414191.0,9.07,4.1,2.94,3.39
2026-03-05,688568,75.25,76.8,77.0,72.68,288983,2153342550.0,5.78,2.81,2.1,3.58
2026-03-06,688568,75.19,78.08,80.75,75.19,259903,2052364927.0,7.24,1.67,1.28,3.22
2026-03-09,688568,75.13,73.26,75.2,72.4,219971,1620566471.0,3.59,-6.17,-4.82,2.72
2026-03-10,688568,73.99,74.11,75.2,71.45,205863,1510878000.0,5.12,1.16,0.85,2.55
2026-03-11,688568,73.5,70.72,73.5,70.56,183972,1314777492.0,3.97,-4.57,-3.39,2.28
2026-03-12,688568,70.13,69.88,70.91,67.65,197489,1366458177.0,4.61,-1.19,-0.84,2.44
2026-03-13,688568,69.01,68.58,70.98,67.1,254376,1756306818.0,5.55,-1.86,-1.3,3.15
2026-03-16,688568,68.58,67.39,68.68,66.22,127069,855896539.0,3.59,-1.74,-1.19,1.57
2026-03-17,688568,67.75,65.01,68.7,65.01,100316,672071693.0,5.48,-3.53,-2.38,1.24
2026-03-18,688568,65.61,67.25,67.8,64.78,115484,765739294.0,4.65,3.45,2.24,1.43
2026-03-19,688568,66.0,68.09,68.78,65.72,120412,811480881.0,4.55,1.25,0.84,1.49
2026-03-20,688568,68.6,66.31,68.76,64.88,121185,803269078.0,5.7,-2.61,-1.78,1.5
2026-03-23,688568,65.78,62.01,66.17,61.47,156667,994198616.0,7.09,-6.48,-4.3,1.94
2026-03-24,688568,62.95,62.05,62.99,59.81,140982,862693211.0,5.13,0.06,0.04,1.74
2026-03-25,688568,62.49,61.0,63.38,60.12,135226,830368713.0,5.25,-1.69,-1.05,1.67
2026-03-26,688568,61.5,60.48,61.8,59.56,103232,627035888.0,3.67,-0.85,-0.52,1.28
2026-03-27,688568,59.89,59.84,60.45,59.06,78261,467486944.0,2.3,-1.06,-0.64,0.97
2026-03-30,688568,58.9,60.32,60.8,58.68,89978,540005558.0,3.54,0.8,0.48,1.11
2026-03-31,688568,60.28,61.0,63.3,60.28,140804,875121312.0,5.01,1.13,0.68,1.74
2026-04-01,688568,62.22,60.59,62.88,59.74,94245,572207614.0,5.15,-0.67,-0.41,1.17
2026-04-02,688568,60.55,59.39,60.99,59.05,77807,463527805.0,3.2,-1.98,-1.2,0.96
2026-04-03,688568,59.88,57.97,60.27,57.89,80911,474769750.0,4.01,-2.39,-1.42,1.0
2026-04-07,688568,58.8,57.32,59.09,57.1,75405,436886937.0,3.43,-1.12,-0.65,0.93
2026-04-08,688568,58.81,60.85,61.2,58.81,138207,830362931.0,4.17,6.16,3.53,1.71
