日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-10-09,5.73,5.7,5.74,5.63,128833567.0,0.0,0.0,0.0,0.0,0.0
2025-10-10,5.68,5.66,5.74,5.65,132011708.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,5.62,5.61,5.65,5.53,175229709.0,0.0,0.0,0.0,0.0,0.0
2025-10-14,5.61,5.7,5.7,5.55,209315815.0,0.0,0.0,0.0,0.0,0.0
2025-10-15,5.68,5.69,5.71,5.62,168587207.0,0.0,0.0,0.0,0.0,0.0
2025-10-16,5.68,5.75,5.76,5.66,190536094.0,0.0,0.0,0.0,0.0,0.0
2025-10-17,5.75,5.72,5.79,5.69,173510843.0,0.0,0.0,0.0,0.0,0.0
2025-10-20,5.7,5.68,5.71,5.58,183867898.0,0.0,0.0,0.0,0.0,0.0
2025-10-21,5.68,5.67,5.69,5.63,142002487.0,0.0,0.0,0.0,0.0,0.0
2025-10-22,5.67,5.73,5.75,5.66,160355711.0,0.0,0.0,0.0,0.0,0.0
2025-10-23,5.74,6.0,6.0,5.74,362298939.0,0.0,0.0,0.0,0.0,0.0
2025-10-24,5.99,5.99,6.03,5.91,207603776.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,5.96,6.01,6.09,5.85,185379494.0,0.0,0.0,0.0,0.0,0.0
2025-10-28,6.01,6.07,6.13,5.97,161202013.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,6.07,5.94,6.07,5.93,177611252.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,5.95,5.91,6.02,5.89,138261601.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,5.87,5.75,5.9,5.71,236360316.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,5.74,5.78,5.81,5.73,188860728.0,0.0,0.0,0.0,0.0,0.0
2025-11-04,5.77,5.92,5.94,5.77,222202381.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,5.92,5.91,5.97,5.88,153550164.0,0.0,0.0,0.0,0.0,0.0
2025-11-06,5.9,5.85,5.93,5.84,146057775.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,5.86,5.8,5.9,5.78,136695027.0,0.0,0.0,0.0,0.0,0.0
2025-11-10,5.78,5.83,5.84,5.77,110389471.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,5.83,5.83,5.86,5.8,91275950.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,5.84,5.87,5.93,5.84,168569940.0,0.0,0.0,0.0,0.0,0.0
2025-11-13,5.87,5.81,5.89,5.77,179635293.0,0.0,0.0,0.0,0.0,0.0
2025-11-14,5.8,5.83,5.88,5.79,193676651.0,0.0,0.0,0.0,0.0,0.0
2025-11-17,5.82,5.69,5.83,5.69,228884769.0,0.0,0.0,0.0,0.0,0.0
2025-11-18,5.7,5.66,5.72,5.65,121158200.0,0.0,0.0,0.0,0.0,0.0
2025-11-19,5.66,5.73,5.75,5.66,152298698.0,0.0,0.0,0.0,0.0,0.0
2025-11-20,5.72,5.91,5.97,5.71,316272312.0,0.0,0.0,0.0,0.0,0.0
2025-11-21,5.89,5.81,5.94,5.81,211323605.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,5.82,5.79,5.9,5.79,219416605.0,0.0,0.0,0.0,0.0,0.0
2025-11-25,5.8,5.88,5.89,5.75,203257784.0,0.0,0.0,0.0,0.0,0.0
2025-11-26,5.87,5.79,5.92,5.76,172897573.0,0.0,0.0,0.0,0.0,0.0
2025-11-27,5.78,5.79,5.8,5.73,134873229.0,0.0,0.0,0.0,0.0,0.0
2025-11-28,5.77,5.68,5.78,5.66,245965697.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,5.66,5.7,5.71,5.65,153144255.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,5.69,5.67,5.72,5.65,113725100.0,0.0,0.0,0.0,0.0,0.0
2025-12-03,5.66,5.6,5.68,5.59,171943775.0,0.0,0.0,0.0,0.0,0.0
2025-12-04,5.6,5.57,5.61,5.55,107342802.0,0.0,0.0,0.0,0.0,0.0
2025-12-05,5.56,5.56,5.59,5.52,125374124.0,0.0,0.0,0.0,0.0,0.0
2025-12-08,5.55,5.57,5.59,5.54,121695559.0,0.0,0.0,0.0,0.0,0.0
2025-12-09,5.57,5.54,5.57,5.52,130664171.0,0.0,0.0,0.0,0.0,0.0
2025-12-10,5.53,5.45,5.55,5.44,155935131.0,0.0,0.0,0.0,0.0,0.0
2025-12-11,5.45,5.48,5.48,5.42,119184230.0,0.0,0.0,0.0,0.0,0.0
2025-12-12,5.46,5.41,5.47,5.4,150413301.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,5.41,5.4,5.44,5.39,112849800.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,5.4,5.35,5.42,5.34,117874500.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,5.34,5.38,5.41,5.31,139150600.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,5.37,5.44,5.45,5.36,125525803.0,0.0,0.0,0.0,0.0,0.0
2025-12-19,5.42,5.42,5.46,5.4,129981356.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,5.42,5.43,5.45,5.4,106572794.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,5.43,5.45,5.46,5.42,135820000.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,5.45,5.4,5.47,5.38,143552424.0,0.0,0.0,0.0,0.0,0.0
2025-12-25,5.4,5.41,5.44,5.39,95521020.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,5.41,5.4,5.42,5.38,79642258.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,5.4,5.44,5.46,5.37,147727999.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,5.45,5.46,5.49,5.41,143988644.0,0.0,0.0,0.0,0.0,0.0
2025-12-31,5.45,5.45,5.48,5.43,107640400.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,5.46,5.45,5.49,5.41,154599700.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,5.46,5.51,5.51,5.42,143586976.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,5.5,5.43,5.52,5.43,156535459.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,5.44,5.41,5.45,5.4,117765850.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,5.41,5.42,5.43,5.38,152938472.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,5.32,5.34,5.35,5.28,146165688.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,5.34,5.37,5.4,5.33,158350731.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,5.36,5.28,5.36,5.26,215286500.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,5.27,5.18,5.28,5.17,161967392.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,5.19,5.17,5.2,5.14,152145601.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,5.16,5.14,5.17,5.14,109127931.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,5.15,5.19,5.21,5.13,143241907.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,5.19,5.08,5.21,5.07,201161523.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,5.08,5.09,5.14,5.05,129332859.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,5.1,5.05,5.11,5.04,140982956.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,5.04,5.08,5.1,5.01,178531589.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,5.07,5.06,5.13,5.05,165001246.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,5.05,5.04,5.1,5.04,179134602.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,5.04,5.09,5.1,5.01,192185452.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,5.09,5.06,5.13,5.05,175652342.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,5.07,5.1,5.14,5.05,220926494.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,5.08,5.03,5.09,5.01,190448147.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,5.03,5.11,5.12,5.02,188830212.0,0.0,0.0,0.0,0.0,0.0
2026-02-05,5.12,5.19,5.21,5.11,193097930.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,5.18,5.18,5.21,5.13,130518204.0,0.0,0.0,0.0,0.0,0.0
2026-02-09,5.16,5.18,5.19,5.14,103248095.0,0.0,0.0,0.0,0.0,0.0
2026-02-10,5.18,5.2,5.23,5.17,115119108.0,0.0,0.0,0.0,0.0,0.0
2026-02-11,5.21,5.19,5.21,5.15,95946005.0,0.0,0.0,0.0,0.0,0.0
2026-02-12,5.2,5.11,5.2,5.11,127778530.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,5.12,5.07,5.13,5.06,110890357.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,5.08,5.05,5.09,5.03,138906210.0,0.0,0.0,0.0,0.0,0.0
2026-02-25,5.04,5.01,5.06,5.01,218603585.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,5.02,4.98,5.03,4.97,142882205.0,0.0,0.0,0.0,0.0,0.0
2026-02-27,4.98,4.97,5.0,4.96,111965829.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,4.96,4.99,5.02,4.95,140690781.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,4.99,5.04,5.07,4.97,233125401.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,5.03,4.93,5.04,4.91,240432466.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,4.92,4.98,4.99,4.92,148954732.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,4.98,5.0,5.02,4.96,101890612.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,4.98,4.97,5.02,4.95,174668839.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,4.98,4.98,4.99,4.95,106968566.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,4.98,5.03,5.03,4.96,138768749.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,5.02,5.06,5.06,5.01,168606197.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,5.05,5.08,5.12,5.03,165637888.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,5.08,5.11,5.13,5.07,150864000.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,5.1,5.17,5.19,5.09,185358743.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,5.17,5.13,5.17,5.08,168187845.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,5.1,5.1,5.15,5.08,136564057.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,5.08,5.05,5.13,5.05,125536940.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,5.04,4.88,5.05,4.87,243137339.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,4.92,5.02,5.03,4.91,182490601.0,0.0,0.0,0.0,0.0,0.0
2026-03-25,5.03,5.08,5.08,4.96,127016810.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,5.07,5.11,5.13,5.06,146832852.0,0.0,0.0,0.0,0.0,0.0
