日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-10-09,26.3,26.18,26.33,26.02,39181135.0,0.0,0.0,0.0,0.0,0.0
2025-10-10,26.15,26.39,26.56,26.11,40855071.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,26.18,26.58,26.73,26.05,44577756.0,0.0,0.0,0.0,0.0,0.0
2025-10-14,26.51,27.1,27.27,26.37,61142909.0,0.0,0.0,0.0,0.0,0.0
2025-10-15,26.99,27.17,27.25,26.85,34862055.0,0.0,0.0,0.0,0.0,0.0
2025-10-16,27.18,27.4,27.52,27.04,38619982.0,0.0,0.0,0.0,0.0,0.0
2025-10-17,27.28,27.45,27.85,27.25,45332343.0,0.0,0.0,0.0,0.0,0.0
2025-10-20,27.39,27.41,27.46,26.99,28446725.0,0.0,0.0,0.0,0.0,0.0
2025-10-21,27.37,27.47,27.72,27.33,35429873.0,0.0,0.0,0.0,0.0,0.0
2025-10-22,27.45,27.48,27.84,27.2,24323294.0,0.0,0.0,0.0,0.0,0.0
2025-10-23,27.48,27.95,28.07,27.46,41241309.0,0.0,0.0,0.0,0.0,0.0
2025-10-24,27.85,27.76,28.05,27.68,23984475.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,27.72,27.76,27.85,27.42,29685766.0,0.0,0.0,0.0,0.0,0.0
2025-10-28,27.85,27.75,28.0,27.53,28612375.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,27.68,27.6,27.96,27.45,30080402.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,27.61,27.72,28.29,27.61,53636789.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,27.97,28.34,28.4,27.75,50644125.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,28.23,28.74,28.83,28.13,36627557.0,0.0,0.0,0.0,0.0,0.0
2025-11-04,28.7,28.85,29.12,28.6,30956143.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,28.9,29.09,29.34,28.6,30681986.0,0.0,0.0,0.0,0.0,0.0
2025-11-06,29.17,29.16,29.48,28.9,34353178.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,29.28,29.31,29.58,29.13,29727478.0,0.0,0.0,0.0,0.0,0.0
2025-11-10,29.3,29.38,29.64,29.09,20986304.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,29.29,29.4,29.6,29.22,21451356.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,29.55,29.33,29.69,29.19,22135924.0,0.0,0.0,0.0,0.0,0.0
2025-11-13,29.36,29.79,29.8,29.17,26816349.0,0.0,0.0,0.0,0.0,0.0
2025-11-14,29.75,29.62,30.22,29.6,25932643.0,0.0,0.0,0.0,0.0,0.0
2025-11-17,29.5,28.8,29.79,28.64,34645945.0,0.0,0.0,0.0,0.0,0.0
2025-11-18,28.7,28.7,29.05,28.63,18960253.0,0.0,0.0,0.0,0.0,0.0
2025-11-19,28.72,28.95,29.09,28.72,18926766.0,0.0,0.0,0.0,0.0,0.0
2025-11-20,29.0,29.0,29.45,28.91,21750554.0,0.0,0.0,0.0,0.0,0.0
2025-11-21,28.91,28.8,29.26,28.68,27950630.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,28.8,28.66,28.97,28.4,26000564.0,0.0,0.0,0.0,0.0,0.0
2025-11-25,28.47,28.79,28.85,28.4,25589309.0,0.0,0.0,0.0,0.0,0.0
2025-11-26,28.71,28.58,28.94,28.58,18610108.0,0.0,0.0,0.0,0.0,0.0
2025-11-27,28.67,28.53,28.68,28.16,21393191.0,0.0,0.0,0.0,0.0,0.0
2025-11-28,28.57,28.37,28.63,28.33,19557148.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,28.38,28.84,28.9,28.29,22292447.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,28.82,28.64,28.98,28.48,14114773.0,0.0,0.0,0.0,0.0,0.0
2025-12-03,28.57,28.43,28.87,28.35,17703795.0,0.0,0.0,0.0,0.0,0.0
2025-12-04,28.5,28.47,28.56,28.27,12093425.0,0.0,0.0,0.0,0.0,0.0
2025-12-05,28.45,28.23,28.56,28.03,21480978.0,0.0,0.0,0.0,0.0,0.0
2025-12-08,28.23,28.18,28.46,28.05,23548352.0,0.0,0.0,0.0,0.0,0.0
2025-12-09,28.2,28.18,28.32,28.03,16723188.0,0.0,0.0,0.0,0.0,0.0
2025-12-10,28.1,27.99,28.25,27.68,29201150.0,0.0,0.0,0.0,0.0,0.0
2025-12-11,27.89,27.79,28.1,27.71,19406528.0,0.0,0.0,0.0,0.0,0.0
2025-12-12,27.8,27.72,27.85,27.55,21541150.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,27.61,28.25,28.58,27.56,28636730.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,28.29,28.25,28.52,27.97,18927753.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,27.94,28.02,28.2,27.7,17219403.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,28.02,28.78,28.91,28.02,25328118.0,0.0,0.0,0.0,0.0,0.0
2025-12-19,28.59,28.76,29.05,28.53,19809146.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,28.68,28.59,28.75,28.33,16293898.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,28.62,28.61,28.88,28.42,19120724.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,28.61,28.37,28.82,28.21,22495927.0,0.0,0.0,0.0,0.0,0.0
2025-12-25,28.4,28.31,28.65,28.21,18819424.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,28.4,28.0,28.41,27.9,24431956.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,27.99,28.06,28.09,27.72,22014405.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,28.0,28.18,28.25,27.85,18224731.0,0.0,0.0,0.0,0.0,0.0
2025-12-31,28.05,28.09,28.2,27.93,17624444.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,28.18,28.15,28.29,27.97,27171969.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,28.15,28.88,28.93,27.91,53748647.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,28.88,29.12,29.43,28.7,41107135.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,29.12,28.68,29.14,28.61,29447456.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,28.68,28.15,28.78,28.01,42229523.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,28.12,28.07,28.2,27.9,34029730.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,28.06,29.26,29.62,27.93,65538875.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,29.26,28.9,29.26,28.73,39458561.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,28.9,28.81,29.09,28.7,28500831.0,0.0,0.0,0.0,0.0,0.0
